,,,,,Label
./OID/Dataset/train/003eeac7d29fcb10.jpg,0,171,1023,771,Bed
./OID/Dataset/train/004240c13e727699.jpg,124,459,680,1014,Bed
./OID/Dataset/train/00464acfe73c79bb.jpg,0,281,1019,767,Bed
./OID/Dataset/train/00482d1721090daf.jpg,327,493,1012,673,Table
./OID/Dataset/train/004be574a68a9fe3.jpg,0,241,561,764,Bed
./OID/Dataset/train/005220abf30b472f.jpg,72,82,744,388,Couch
./OID/Dataset/train/005345a6a76059f6.jpg,0,41,1023,767,Couch
./OID/Dataset/train/005618f36de854ce.jpg,0,0,1020,917,Bed
./OID/Dataset/train/005f880c2c4577b3.jpg,0,0,803,682,Bed
./OID/Dataset/train/005fecd43d87a314.jpg,228,279,780,794,Bed
./OID/Dataset/train/0063b392d19ca251.jpg,0,500,540,767,Table
./OID/Dataset/train/0063b392d19ca251.jpg,422,401,568,568,Table
./OID/Dataset/train/006ace9d77bec33b.jpg,0,374,849,767,Couch
./OID/Dataset/train/006d2bf16cf2a4c9.jpg,0,274,679,846,Couch
./OID/Dataset/train/006f38e1fb103faf.jpg,0,173,621,682,Bed
./OID/Dataset/train/006f38e1fb103faf.jpg,295,288,779,562,Bed
./OID/Dataset/train/007257a1717edac7.jpg,0,98,464,681,Couch
./OID/Dataset/train/007dd6bb3bbd9a6a.jpg,0,578,515,1019,Bed
./OID/Dataset/train/007f243aba2f2bfc.jpg,241,385,420,636,Bed
./OID/Dataset/train/007f243aba2f2bfc.jpg,410,336,680,542,Bed
./OID/Dataset/train/007f243aba2f2bfc.jpg,456,391,662,478,Bed
./OID/Dataset/train/007f243aba2f2bfc.jpg,655,347,860,640,Bed
./OID/Dataset/train/008520c4290b2503.jpg,2,0,1020,683,Bed
./OID/Dataset/train/0087f4d6f981d4b7.jpg,0,0,767,1023,Bed
./OID/Dataset/train/008aa61e243bda4c.jpg,120,399,1023,767,Couch
./OID/Dataset/train/0094fd731425af44.jpg,317,449,696,623,Bed
./OID/Dataset/train/009696117e288c98.jpg,0,456,530,680,Table
./OID/Dataset/train/009696117e288c98.jpg,180,358,464,465,Table
./OID/Dataset/train/009696117e288c98.jpg,624,390,1023,568,Table
./OID/Dataset/train/009a90905ddcd7c7.jpg,0,0,1022,766,Couch
./OID/Dataset/train/009db8913bdb108b.jpg,527,379,1024,575,Bed
./OID/Dataset/train/009dd367e4907cc3.jpg,124,178,755,867,Table
./OID/Dataset/train/009f62cb30f760f6.jpg,53,451,337,663,Table
./OID/Dataset/train/00a011ef968db10b.jpg,0,0,1022,766,Bed
./OID/Dataset/train/00b031b409d21341.jpg,0,204,416,523,Bed
./OID/Dataset/train/00b031b409d21341.jpg,89,278,727,605,Bed
./OID/Dataset/train/00b44eb1256a1a38.jpg,0,290,719,682,Bed
./OID/Dataset/train/00be2ab73e8d1d00.jpg,417,276,811,539,Bed
./OID/Dataset/train/00c1bb3fd0f8c041.jpg,303,353,854,682,Bed
./OID/Dataset/train/00c470f36a16514e.jpg,493,208,840,542,Bed
./OID/Dataset/train/00c4779f714a8101.jpg,35,29,998,931,Bed
./OID/Dataset/train/00c49d30f5689d71.jpg,74,46,767,785,Bed
./OID/Dataset/train/00d9a357b10f81d8.jpg,1,299,883,759,Bed
./OID/Dataset/train/00e8bb2a3bdc7d5a.jpg,0,444,529,608,Bed
./OID/Dataset/train/00e9d0f34286c4ec.jpg,181,396,813,707,Table
./OID/Dataset/train/00e9dba1299fc3be.jpg,0,0,767,767,Bed
./OID/Dataset/train/00ed41b07045a43a.jpg,0,570,66,637,Table
./OID/Dataset/train/00ed41b07045a43a.jpg,0,619,490,767,Table
./OID/Dataset/train/00ed68003070c9e8.jpg,132,457,503,819,Couch
./OID/Dataset/train/00ed68003070c9e8.jpg,551,495,767,1023,Couch
./OID/Dataset/train/00f1445aa9902737.jpg,1,34,765,1023,Bed
./OID/Dataset/train/00ff73c9c823c9ba.jpg,3,2,1017,686,Bed
./OID/Dataset/train/010b4acba21dabd5.jpg,390,530,959,823,Couch
./OID/Dataset/train/01260ec30a76a32b.jpg,0,765,1022,1022,Table
./OID/Dataset/train/0128e010fcca219d.jpg,0,0,1023,767,Couch
./OID/Dataset/train/0136feb857f1e0cc.jpg,45,358,783,767,Bed
./OID/Dataset/train/013f52df3477f420.jpg,0,294,556,606,Couch
./OID/Dataset/train/013f52df3477f420.jpg,552,287,1022,597,Couch
./OID/Dataset/train/014061f47165a381.jpg,233,365,717,680,Table
./OID/Dataset/train/014061f47165a381.jpg,881,438,1023,657,Table
./OID/Dataset/train/0141924e145c81e1.jpg,10,121,707,623,Bed
./OID/Dataset/train/01427f295a313b3b.jpg,0,579,402,1022,Couch
./OID/Dataset/train/01427f295a313b3b.jpg,784,459,1022,787,Couch
./OID/Dataset/train/0144cfbb726f4c72.jpg,0,423,82,485,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,0,463,91,646,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,0,653,154,767,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,51,433,165,516,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,143,406,237,460,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,159,445,318,542,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,234,419,338,490,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,235,398,353,463,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,320,420,497,518,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,335,413,452,490,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,364,467,623,676,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,415,357,486,429,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,442,418,605,505,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,552,444,792,546,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,586,490,995,767,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,666,423,858,505,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,763,454,1023,570,Table
./OID/Dataset/train/0144cfbb726f4c72.jpg,849,436,1023,517,Table
./OID/Dataset/train/014944af427835a8.jpg,0,328,1022,997,Couch
./OID/Dataset/train/015856610cfaee14.jpg,631,416,961,568,Table
./OID/Dataset/train/015856610cfaee14.jpg,0,580,438,767,Table
./OID/Dataset/train/015856610cfaee14.jpg,129,420,468,560,Table
./OID/Dataset/train/015debd57b1ab61e.jpg,18,350,558,672,Bed
./OID/Dataset/train/015debd57b1ab61e.jpg,394,347,1019,765,Bed
./OID/Dataset/train/015fa29c75d3ef74.jpg,0,31,612,1023,Bed
./OID/Dataset/train/01612a4a8d0163ba.jpg,267,286,828,720,Bed
./OID/Dataset/train/01619256e7a88da8.jpg,0,406,524,767,Bed
./OID/Dataset/train/01619256e7a88da8.jpg,312,451,1023,767,Bed
./OID/Dataset/train/0170876e3c2ee536.jpg,0,385,442,679,Table
./OID/Dataset/train/0170876e3c2ee536.jpg,3,254,130,310,Table
./OID/Dataset/train/0170876e3c2ee536.jpg,116,305,189,336,Table
./OID/Dataset/train/0170876e3c2ee536.jpg,146,284,284,315,Table
./OID/Dataset/train/0170876e3c2ee536.jpg,290,322,479,401,Table
./OID/Dataset/train/0170876e3c2ee536.jpg,779,407,834,483,Table
./OID/Dataset/train/0170876e3c2ee536.jpg,794,597,1023,679,Table
./OID/Dataset/train/0172d73d6f72df6a.jpg,393,197,1024,576,Couch
./OID/Dataset/train/017912867bcba7a1.jpg,383,409,592,526,Table
./OID/Dataset/train/017912867bcba7a1.jpg,579,417,868,635,Table
./OID/Dataset/train/017ebd45ca8ffd8f.jpg,13,245,744,767,Bed
./OID/Dataset/train/017fc8253a592d65.jpg,0,0,1021,814,Bed
./OID/Dataset/train/01819f6190f54cc1.jpg,118,351,1023,765,Bed
./OID/Dataset/train/018331a4a4df611f.jpg,5,254,1022,767,Bed
./OID/Dataset/train/018c17a711ea3f1e.jpg,467,348,1023,765,Bed
./OID/Dataset/train/018c17a711ea3f1e.jpg,886,259,1023,680,Bed
./OID/Dataset/train/018ca9b7ddbe4969.jpg,454,387,695,502,Couch
./OID/Dataset/train/018feea4032eda51.jpg,217,127,1023,621,Couch
./OID/Dataset/train/0190f9b32eab4205.jpg,291,0,966,682,Bed
./OID/Dataset/train/01944a2aaca27d98.jpg,0,0,1023,767,Bed
./OID/Dataset/train/0197c2a9e047e19f.jpg,0,143,1023,682,Bed
./OID/Dataset/train/0197fa694f095a83.jpg,79,343,636,680,Bed
./OID/Dataset/train/01a21dec45401545.jpg,28,77,1024,683,Couch
./OID/Dataset/train/01a7d362f8918b05.jpg,0,349,943,767,Couch
./OID/Dataset/train/01a910a28f3ba81f.jpg,0,104,959,767,Bed
./OID/Dataset/train/01a924d0faf48a9c.jpg,0,531,641,1023,Bed
./OID/Dataset/train/01b680d8d76f1b37.jpg,671,97,876,434,Bed
./OID/Dataset/train/01b8309cc02f2673.jpg,0,400,62,677,Bed
./OID/Dataset/train/01b8309cc02f2673.jpg,333,293,470,519,Bed
./OID/Dataset/train/01bb408d382c59ac.jpg,5,509,179,761,Couch
./OID/Dataset/train/01bb408d382c59ac.jpg,267,509,532,728,Couch
./OID/Dataset/train/01bb408d382c59ac.jpg,573,501,767,712,Couch
./OID/Dataset/train/01cde04ccd6fa01a.jpg,0,430,771,767,Bed
./OID/Dataset/train/01cde04ccd6fa01a.jpg,369,388,912,767,Bed
./OID/Dataset/train/01d8397c9c460482.jpg,0,228,826,765,Bed
./OID/Dataset/train/01d8397c9c460482.jpg,123,463,1023,765,Bed
./OID/Dataset/train/01e6637cc2794779.jpg,0,0,1023,682,Bed
./OID/Dataset/train/01eab6736c66f762.jpg,305,527,799,813,Bed
./OID/Dataset/train/01fd3281a16bc9d1.jpg,326,544,991,681,Table
./OID/Dataset/train/01fd3281a16bc9d1.jpg,947,500,1023,541,Table
./OID/Dataset/train/02011a5bb11867b2.jpg,0,8,880,908,Bed
./OID/Dataset/train/0202b5df7f65c595.jpg,0,160,1018,571,Bed
./OID/Dataset/train/0207b8fde779c65c.jpg,0,102,1023,767,Bed
./OID/Dataset/train/020a79b35784cbb1.jpg,0,200,1023,767,Table
./OID/Dataset/train/0218a2acebdf1148.jpg,0,283,1024,735,Couch
./OID/Dataset/train/021c147e3b4feef1.jpg,210,200,1023,681,Bed
./OID/Dataset/train/022457988efff01c.jpg,107,170,712,514,Couch
./OID/Dataset/train/02246402cd3e557e.jpg,396,428,828,678,Table
./OID/Dataset/train/0237d2ec84e30886.jpg,0,117,1023,683,Bed
./OID/Dataset/train/02490046b14c79df.jpg,471,401,600,446,Couch
./OID/Dataset/train/024d46e2ccfafa07.jpg,37,282,508,495,Bed
./OID/Dataset/train/024d46e2ccfafa07.jpg,575,240,929,494,Bed
./OID/Dataset/train/024ee939e551563b.jpg,0,446,176,680,Table
./OID/Dataset/train/024ee939e551563b.jpg,808,416,1023,678,Table
./OID/Dataset/train/025b8758d0bff93b.jpg,90,324,893,826,Couch
./OID/Dataset/train/025bea6be9a5d55f.jpg,584,343,1015,627,Couch
./OID/Dataset/train/025c9d604aa7b1d6.jpg,0,178,514,383,Bed
./OID/Dataset/train/025c9d604aa7b1d6.jpg,511,55,1023,383,Bed
./OID/Dataset/train/026319ec416e1d12.jpg,0,0,1022,766,Bed
./OID/Dataset/train/026d57f9e87c69e5.jpg,161,359,421,543,Bed
./OID/Dataset/train/026d57f9e87c69e5.jpg,662,378,1023,523,Bed
./OID/Dataset/train/02739225cdfe60f5.jpg,1,366,528,767,Bed
./OID/Dataset/train/02739225cdfe60f5.jpg,435,349,841,563,Bed
./OID/Dataset/train/02739225cdfe60f5.jpg,821,369,1023,767,Bed
./OID/Dataset/train/027b8c8d4d6637c0.jpg,0,502,403,767,Bed
./OID/Dataset/train/027b8c8d4d6637c0.jpg,0,172,603,662,Bed
./OID/Dataset/train/0286f1bcd7cf45ff.jpg,365,262,1015,721,Bed
./OID/Dataset/train/029111a93058eb65.jpg,15,486,291,674,Table
./OID/Dataset/train/029111a93058eb65.jpg,656,383,797,514,Table
./OID/Dataset/train/029111a93058eb65.jpg,745,437,1023,600,Table
./OID/Dataset/train/02913d69ee943e24.jpg,101,353,380,645,Table
./OID/Dataset/train/02913d69ee943e24.jpg,381,334,797,682,Table
./OID/Dataset/train/02913d69ee943e24.jpg,790,404,979,682,Table
./OID/Dataset/train/0291c3a8b509acfd.jpg,99,705,311,868,Table
./OID/Dataset/train/0291c3a8b509acfd.jpg,397,749,767,1023,Table
./OID/Dataset/train/029541ea478ed2d7.jpg,26,640,1000,1022,Bed
./OID/Dataset/train/029ab45e48dde690.jpg,22,143,567,526,Couch
./OID/Dataset/train/029d44c77e3cc9c0.jpg,0,0,1017,682,Bed
./OID/Dataset/train/029dd8d70d0567e3.jpg,37,694,997,987,Bed
./OID/Dataset/train/02a7dbeb4655a6ee.jpg,2004,1382,4599,3453,Bed
./OID/Dataset/train/02aa2eeaff086e97.jpg,96,227,922,682,Bed
./OID/Dataset/train/02aa367d84c9880b.jpg,0,241,888,767,Bed
./OID/Dataset/train/02aa367d84c9880b.jpg,545,175,966,407,Bed
./OID/Dataset/train/02b126f6a98ef0b1.jpg,248,380,1022,766,Bed
./OID/Dataset/train/02bb310a65fc8fbd.jpg,16,340,323,710,Couch
./OID/Dataset/train/02cde80ea00cfbaa.jpg,0,422,250,767,Bed
./OID/Dataset/train/02cde80ea00cfbaa.jpg,426,352,874,569,Bed
./OID/Dataset/train/02cde80ea00cfbaa.jpg,550,434,1023,767,Bed
./OID/Dataset/train/02dae1a432f6894c.jpg,285,22,948,748,Bed
./OID/Dataset/train/02dfb25f4eb17017.jpg,240,283,1023,682,Bed
./OID/Dataset/train/02e3168cb90d3234.jpg,144,302,1023,767,Bed
./OID/Dataset/train/02f569b8c25582cc.jpg,0,214,1022,1022,Couch
./OID/Dataset/train/03037f97a53fdf89.jpg,249,694,308,749,Table
./OID/Dataset/train/03044a1060d012f1.jpg,0,248,820,575,Bed
./OID/Dataset/train/030a96956ad73c57.jpg,0,594,644,747,Bed
./OID/Dataset/train/030a96956ad73c57.jpg,0,143,907,747,Bed
./OID/Dataset/train/030e828d4ba89b9c.jpg,0,395,1023,669,Bed
./OID/Dataset/train/0315b692b40aba76.jpg,175,317,816,768,Table
./OID/Dataset/train/03163661145c73d7.jpg,0,0,678,1023,Bed
./OID/Dataset/train/031d4e2291f28367.jpg,0,313,780,680,Bed
./OID/Dataset/train/031e80978fa7f67e.jpg,54,37,1019,767,Bed
./OID/Dataset/train/032407a817b614de.jpg,92,326,614,684,Bed
./OID/Dataset/train/032407a817b614de.jpg,611,439,1012,684,Table
./OID/Dataset/train/03295907ff891e18.jpg,22,182,338,344,Couch
./OID/Dataset/train/03295907ff891e18.jpg,359,196,535,257,Couch
./OID/Dataset/train/03295907ff891e18.jpg,483,323,895,599,Couch
./OID/Dataset/train/03295907ff891e18.jpg,584,213,898,362,Couch
./OID/Dataset/train/033828fe13294a96.jpg,0,157,1023,767,Bed
./OID/Dataset/train/033bc411fc2d8c19.jpg,9,262,283,575,Couch
./OID/Dataset/train/033dcc31520c26a9.jpg,39,72,956,597,Couch
./OID/Dataset/train/033f6736e4e262a4.jpg,119,191,871,636,Bed
./OID/Dataset/train/033f6736e4e262a4.jpg,537,392,1023,678,Bed
./OID/Dataset/train/033f6736e4e262a4.jpg,542,384,1023,678,Bed
./OID/Dataset/train/03521e09321cf595.jpg,1,439,1023,678,Table
./OID/Dataset/train/0363bd1c5e890346.jpg,392,149,710,369,Bed
./OID/Dataset/train/036fece40a5887d2.jpg,0,172,1023,739,Bed
./OID/Dataset/train/037282aebeaf2a2e.jpg,305,220,404,260,Table
./OID/Dataset/train/037282aebeaf2a2e.jpg,580,206,721,301,Table
./OID/Dataset/train/037282aebeaf2a2e.jpg,620,656,1023,767,Table
./OID/Dataset/train/0373a3ba8c522832.jpg,235,186,1021,767,Bed
./OID/Dataset/train/037ece25f177d737.jpg,0,525,1023,767,Table
./OID/Dataset/train/037ece25f177d737.jpg,138,332,992,530,Table
./OID/Dataset/train/03872f98ae59038c.jpg,796,337,970,557,Couch
./OID/Dataset/train/038a13e5bf1e9ed3.jpg,0,611,492,1023,Bed
./OID/Dataset/train/03950265cf531a72.jpg,0,247,870,682,Bed
./OID/Dataset/train/0399b48693405569.jpg,310,415,519,677,Table
./OID/Dataset/train/039c655b171ef8cd.jpg,122,355,1023,839,Bed
./OID/Dataset/train/03a72764a26f3af4.jpg,185,351,583,631,Couch
./OID/Dataset/train/03a7d0facfd7eebb.jpg,31,190,894,767,Bed
./OID/Dataset/train/03aff97c59389902.jpg,462,262,1023,618,Bed
./OID/Dataset/train/03b67172fc1b9c84.jpg,234,264,1023,767,Bed
./OID/Dataset/train/03b97f5de115afa2.jpg,540,520,1023,767,Bed
./OID/Dataset/train/03b97f5de115afa2.jpg,523,514,1004,766,Couch
./OID/Dataset/train/03c361bef79191b7.jpg,136,81,849,735,Bed
./OID/Dataset/train/03de604e56d59626.jpg,6,143,1024,694,Couch
./OID/Dataset/train/03de604e56d59626.jpg,124,526,945,747,Table
./OID/Dataset/train/03e0e137c8c40426.jpg,102,156,841,682,Bed
./OID/Dataset/train/03e4dd0a6c7a8da0.jpg,3,321,659,681,Bed
./OID/Dataset/train/03ee2eaab3675767.jpg,334,312,792,616,Couch
./OID/Dataset/train/03f0a2f581761ed4.jpg,712,415,933,646,Table
./OID/Dataset/train/03f0a2f581761ed4.jpg,1,501,788,772,Table
./OID/Dataset/train/03f0a2f581761ed4.jpg,110,408,637,505,Table
./OID/Dataset/train/03f0a2f581761ed4.jpg,609,345,835,463,Table
./OID/Dataset/train/03f0a2f581761ed4.jpg,942,544,1023,794,Table
./OID/Dataset/train/03f21970acb80534.jpg,174,256,531,643,Bed
./OID/Dataset/train/03f21970acb80534.jpg,493,250,827,534,Bed
./OID/Dataset/train/03f389c14304e5e8.jpg,0,0,967,1022,Bed
./OID/Dataset/train/03f94ad143ed2c50.jpg,6,671,758,1020,Bed
./OID/Dataset/train/04071d1ea265097f.jpg,0,204,1023,753,Bed
./OID/Dataset/train/0409e23423055525.jpg,557,308,996,686,Couch
./OID/Dataset/train/040fce2a086759a7.jpg,468,272,943,573,Bed
./OID/Dataset/train/041870028ebd7af9.jpg,31,188,882,682,Bed
./OID/Dataset/train/041b8abd5c189b9f.jpg,0,99,668,682,Bed
./OID/Dataset/train/04236c2092f83588.jpg,533,196,1022,659,Table
./OID/Dataset/train/0431bc9d4371d490.jpg,51,147,1009,682,Bed
./OID/Dataset/train/0437ba5eddb45190.jpg,109,132,1024,758,Couch
./OID/Dataset/train/043fb662ccfaea78.jpg,110,97,705,584,Bed
./OID/Dataset/train/04414ad32f241a51.jpg,0,495,628,679,Bed
./OID/Dataset/train/044504d7b2a93f3d.jpg,0,251,1023,682,Couch
./OID/Dataset/train/04490fd290d863c1.jpg,2,429,873,767,Bed
./OID/Dataset/train/044b8f6bf440e9d7.jpg,518,321,1023,680,Bed
./OID/Dataset/train/044c745047317a2c.jpg,0,531,665,767,Bed
./OID/Dataset/train/044e12b45f64e611.jpg,76,189,955,690,Bed
./OID/Dataset/train/04554fb7399ab858.jpg,340,40,878,697,Bed
./OID/Dataset/train/04554fb7399ab858.jpg,0,143,270,630,Bed
./OID/Dataset/train/046e5ea541f0d4b7.jpg,0,137,732,685,Bed
./OID/Dataset/train/0478ccc9e12d92fc.jpg,120,470,509,552,Table
./OID/Dataset/train/0478ccc9e12d92fc.jpg,144,554,567,767,Table
./OID/Dataset/train/0478ccc9e12d92fc.jpg,236,420,668,598,Table
./OID/Dataset/train/047df11da8bc4c93.jpg,111,290,915,746,Table
./OID/Dataset/train/047df11da8bc4c93.jpg,0,273,159,352,Table
./OID/Dataset/train/047f5a1f8cb6f0ba.jpg,0,238,370,513,Couch
./OID/Dataset/train/04967790ac1874c5.jpg,655,426,868,539,Table
./OID/Dataset/train/049970330c3b7201.jpg,0,555,682,962,Bed
./OID/Dataset/train/049b433215406b91.jpg,115,146,1022,1022,Bed
./OID/Dataset/train/049d81a324110abd.jpg,0,393,369,682,Bed
./OID/Dataset/train/049d81a324110abd.jpg,280,378,784,682,Bed
./OID/Dataset/train/049d81a324110abd.jpg,661,393,1023,682,Bed
./OID/Dataset/train/04a38a1081e48c79.jpg,244,293,492,462,Bed
./OID/Dataset/train/04a38a1081e48c79.jpg,276,31,867,576,Bed
./OID/Dataset/train/04a8063daa53fb73.jpg,0,276,271,767,Bed
./OID/Dataset/train/04a8063daa53fb73.jpg,169,258,1023,767,Bed
./OID/Dataset/train/04adf47cc1a174f5.jpg,758,116,1024,441,Couch
./OID/Dataset/train/04b9aeaa636cc86e.jpg,0,31,1023,744,Couch
./OID/Dataset/train/04c2c6a30ea85833.jpg,0,231,175,682,Bed
./OID/Dataset/train/04c2c6a30ea85833.jpg,348,251,922,511,Bed
./OID/Dataset/train/04d47c8e86888a2b.jpg,290,289,932,555,Bed
./OID/Dataset/train/04d4d464df9b8f4d.jpg,0,159,967,768,Couch
./OID/Dataset/train/04e71a0b0b87209d.jpg,260,513,1023,767,Bed
./OID/Dataset/train/04f51085c6134ae8.jpg,0,0,510,1023,Bed
./OID/Dataset/train/04f54b260fba9836.jpg,353,322,809,614,Bed
./OID/Dataset/train/04fb5aef814bb6ca.jpg,0,405,328,570,Couch
./OID/Dataset/train/050145271c8731e8.jpg,642,301,1012,736,Couch
./OID/Dataset/train/050145271c8731e8.jpg,0,141,386,423,Couch
./OID/Dataset/train/052aeb19a0634cae.jpg,60,390,801,742,Bed
./OID/Dataset/train/054c7da0d43116c6.jpg,0,530,408,682,Bed
./OID/Dataset/train/054c7da0d43116c6.jpg,161,346,724,682,Bed
./OID/Dataset/train/055b4708ad21c130.jpg,0,0,1023,682,Bed
./OID/Dataset/train/056c5c6d34e42b3a.jpg,43,445,754,742,Table
./OID/Dataset/train/056dd01376ea02c1.jpg,3,225,904,680,Bed
./OID/Dataset/train/056ed815587f971d.jpg,627,81,1022,767,Bed
./OID/Dataset/train/0570b356816ca8a4.jpg,0,637,54,767,Table
./OID/Dataset/train/0570b356816ca8a4.jpg,302,396,502,588,Table
./OID/Dataset/train/0570b356816ca8a4.jpg,739,458,875,759,Table
./OID/Dataset/train/0573fde4bb4d8b6a.jpg,655,561,726,677,Table
./OID/Dataset/train/057937c705b0a068.jpg,311,317,1022,580,Bed
./OID/Dataset/train/057bec95f8233e82.jpg,179,204,799,682,Bed
./OID/Dataset/train/0587640e4d1f018b.jpg,657,325,911,604,Table
./OID/Dataset/train/0587640e4d1f018b.jpg,195,310,327,497,Table
./OID/Dataset/train/0587640e4d1f018b.jpg,786,318,920,472,Table
./OID/Dataset/train/0588003ad9bf9122.jpg,117,94,1024,752,Bed
./OID/Dataset/train/059b0c92d22e2484.jpg,0,252,1023,767,Bed
./OID/Dataset/train/05afdbeeaf8b8c56.jpg,120,353,922,680,Bed
./OID/Dataset/train/05b77f131cfc4416.jpg,71,0,897,1023,Bed
./OID/Dataset/train/05b96f3189cb8caa.jpg,116,189,846,390,Table
./OID/Dataset/train/05c6d91be7bbe4e0.jpg,451,330,938,588,Bed
./OID/Dataset/train/05d58de26ae6159a.jpg,0,422,852,766,Bed
./OID/Dataset/train/05d6898f1b37df8a.jpg,22,490,624,746,Couch
./OID/Dataset/train/05d7ac47e19d0e1f.jpg,0,361,508,639,Bed
./OID/Dataset/train/05d9afa99c630bcc.jpg,0,590,133,695,Bed
./OID/Dataset/train/05d9afa99c630bcc.jpg,56,370,652,687,Bed
./OID/Dataset/train/05dcfdbd9a7c1ae6.jpg,10,0,1024,768,Bed
./OID/Dataset/train/05e12947033e229c.jpg,255,52,1024,703,Couch
./OID/Dataset/train/05e1e5c15141321c.jpg,672,457,1023,607,Table
./OID/Dataset/train/05e62a4df4930b93.jpg,103,219,997,735,Table
./OID/Dataset/train/05e62a4df4930b93.jpg,289,152,966,554,Table
./OID/Dataset/train/05eb468eafb80721.jpg,12,238,1023,576,Bed
./OID/Dataset/train/05eeba944bc360cb.jpg,3,68,669,767,Bed
./OID/Dataset/train/0604a86818df93b7.jpg,282,276,895,677,Bed
./OID/Dataset/train/0604a86818df93b7.jpg,530,249,1023,672,Bed
./OID/Dataset/train/060f89722e0681ad.jpg,0,297,1023,767,Bed
./OID/Dataset/train/0616306028b318db.jpg,78,182,811,682,Bed
./OID/Dataset/train/06173d52fa8bf347.jpg,83,0,661,680,Bed
./OID/Dataset/train/06196898fd94906e.jpg,0,202,1021,765,Couch
./OID/Dataset/train/061d0bffd6796d9e.jpg,0,412,920,1023,Bed
./OID/Dataset/train/0625c8e205677ab2.jpg,558,339,1023,611,Couch
./OID/Dataset/train/0627f486e5d50882.jpg,0,433,309,733,Couch
./OID/Dataset/train/0627f486e5d50882.jpg,742,445,1023,767,Couch
./OID/Dataset/train/063024a49cbd81fe.jpg,550,723,1022,905,Bed
./OID/Dataset/train/0642791b44bb3de5.jpg,47,217,1023,733,Bed
./OID/Dataset/train/06524972b09b2567.jpg,776,530,1023,767,Table
./OID/Dataset/train/0657f627c92257c6.jpg,778,360,1024,631,Couch
./OID/Dataset/train/06643338ca58a644.jpg,234,589,767,1023,Bed
./OID/Dataset/train/06673c626bfaa94b.jpg,100,41,1023,584,Bed
./OID/Dataset/train/0670706f2e11359e.jpg,114,400,682,1023,Bed
./OID/Dataset/train/06710db72654e8bb.jpg,0,187,712,676,Couch
